Fecha;Grupo;Producto;Mercado;Precio  por kilogramo
ene-20;VERDURAS Y HORTALIZAS;Ahuyama;Buenaventura (Valle del Cauca); 1,467 
ene-20;VERDURAS Y HORTALIZAS;Ajo importado;Buenaventura (Valle del Cauca); 7,478 
ene-20;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Buenaventura (Valle del Cauca); 3,182 
ene-20;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca bogotana;Buenaventura (Valle del Cauca); 1,010 
ene-20;VERDURAS Y HORTALIZAS;Cebolla junca Aquitania;Buenaventura (Valle del Cauca); 2,507 
ene-20;VERDURAS Y HORTALIZAS;Chócolo mazorca;Buenaventura (Valle del Cauca); 1,163 
ene-20;VERDURAS Y HORTALIZAS;Cilantro;Buenaventura (Valle del Cauca); 2,843 
ene-20;VERDURAS Y HORTALIZAS;Fríjol verde en vaina;Buenaventura (Valle del Cauca); 3,182 
ene-20;VERDURAS Y HORTALIZAS;Habichuela;Buenaventura (Valle del Cauca); 2,812 
ene-20;VERDURAS Y HORTALIZAS;Lechuga Batavia;Buenaventura (Valle del Cauca); 2,000 
ene-20;VERDURAS Y HORTALIZAS;Pepino cohombro;Buenaventura (Valle del Cauca); 963 
ene-20;VERDURAS Y HORTALIZAS;Pimentón;Buenaventura (Valle del Cauca); 2,196 
ene-20;VERDURAS Y HORTALIZAS;Remolacha bogotana;Buenaventura (Valle del Cauca); 1,064 
ene-20;VERDURAS Y HORTALIZAS;Repollo blanco;Buenaventura (Valle del Cauca); 756 
ene-20;VERDURAS Y HORTALIZAS;Repollo morado;Buenaventura (Valle del Cauca); 831 
ene-20;VERDURAS Y HORTALIZAS;Tomate chonto regional;Buenaventura (Valle del Cauca); 2,285 
ene-20;VERDURAS Y HORTALIZAS;Zanahoria;Buenaventura (Valle del Cauca); 1,277 
ene-20;VERDURAS Y HORTALIZAS;Zanahoria bogotana;Buenaventura (Valle del Cauca); 1,653 
ene-20;FRUTAS;Aguacate común;Buenaventura (Valle del Cauca); 3,089 
ene-20;FRUTAS;Aguacate papelillo;Buenaventura (Valle del Cauca); 3,970 
ene-20;FRUTAS;Banano criollo;Buenaventura (Valle del Cauca); 1,216 
ene-20;FRUTAS;Curuba;Buenaventura (Valle del Cauca); 2,237 
ene-20;FRUTAS;Guayaba pera;Buenaventura (Valle del Cauca); 2,078 
ene-20;FRUTAS;Limón común valluno;Buenaventura (Valle del Cauca); 3,000 
ene-20;FRUTAS;Lulo;Buenaventura (Valle del Cauca); 3,326 
ene-20;FRUTAS;Mandarina Arrayana;Buenaventura (Valle del Cauca); 2,415 
ene-20;FRUTAS;Mango manzano;Buenaventura (Valle del Cauca); 1,689 
ene-20;FRUTAS;Manzana roja importada;Buenaventura (Valle del Cauca); 5,916 
ene-20;FRUTAS;Manzana verde importada;Buenaventura (Valle del Cauca); 6,600 
ene-20;FRUTAS;Maracuyá;Buenaventura (Valle del Cauca); 2,604 
ene-20;FRUTAS;Mora de Castilla;Buenaventura (Valle del Cauca); 4,300 
ene-20;FRUTAS;Naranja Valencia;Buenaventura (Valle del Cauca); 1,285 
ene-20;FRUTAS;Papaya Maradol;Buenaventura (Valle del Cauca); 1,937 
ene-20;FRUTAS;Pera importada;Buenaventura (Valle del Cauca); 6,062 
ene-20;FRUTAS;Piña gold;Buenaventura (Valle del Cauca); 2,059 
ene-20;FRUTAS;Tomate de árbol;Buenaventura (Valle del Cauca); 1,867 
ene-20;TUBERCULOS, RAICES Y PLATANOS;Arracacha amarilla;Buenaventura (Valle del Cauca); 2,753 
ene-20;TUBERCULOS, RAICES Y PLATANOS;Papa Betina;Buenaventura (Valle del Cauca); 652 
ene-20;TUBERCULOS, RAICES Y PLATANOS;Papa capira;Buenaventura (Valle del Cauca); 876 
ene-20;TUBERCULOS, RAICES Y PLATANOS;Papa suprema;Buenaventura (Valle del Cauca); 773 
ene-20;TUBERCULOS, RAICES Y PLATANOS;Papa única;Buenaventura (Valle del Cauca); 662 
ene-20;TUBERCULOS, RAICES Y PLATANOS;Ulluco;Buenaventura (Valle del Cauca); 3,361 
ene-20;TUBERCULOS, RAICES Y PLATANOS;Yuca chirosa;Buenaventura (Valle del Cauca); 1,348 
ene-20;GRANOS Y CEREALES;Arroz de primera;Buenaventura (Valle del Cauca); 3,443 
ene-20;GRANOS Y CEREALES;Arveja verde seca importada;Buenaventura (Valle del Cauca); 1,934 
ene-20;GRANOS Y CEREALES;Fríjol calima;Buenaventura (Valle del Cauca); 4,560 
ene-20;GRANOS Y CEREALES;Lenteja importada;Buenaventura (Valle del Cauca); 2,159 
ene-20;LACTEOS Y HUEVOS;Huevo blanco A;Buenaventura (Valle del Cauca); 349 
