artiId;artiNombre;fechaIni;fuenId;fuenNombre;futiId;maximoKg;minimoKg;promedioKg
128;Manzana verde importada;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;6579;6316;6491
240;Queso doble crema;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;13000;12000;12667
73;Remolacha bogotana;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1200;1120;1187
12;Repollo blanco;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;667;600;633
348;Azúcar sulfitada;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2300;2300;2300
315;Corvina, filete congelado nacional;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;36000;34000;34667
100;Curuba;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2200;2000;2167
133;Maracuyá;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3800;3000;3433
15;Repollo morado;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;833;750;789
370;Sal yodada;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;816;800;805
93;Banano criollo;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1278;1222;1259
213;Fríjol calima;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4608;4500;4569
342;Margarina;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;18070;18050;18060
366;Mayonesa doy pack;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;17105;16360;16630
371;Salsa de tomate doy pack;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;12604;12563;12576
337;Sardinas en lata;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;6975;6711;6843
329;Sierra entera congelada;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;13000;12000;12333
41;Fríjol verde en vaina;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3200;3040;3080
135;Mora de Castilla;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4000;3500;3783
200;Ulluco;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3000;2500;2717
352;Café instantáneo;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;94967;87484;90229
360;Galletas saladas;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;10347;10000;10208
86;Naranja Valencia;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1300;1280;1290
55;Zanahoria bogotana;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1500;1417;1458
179;Papa única;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;700;640;655
271;Carne de cerdo, brazo sin hueso;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;15000;14000;14667
274;Carne de cerdo, costilla;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;15000;14000;14667
361;Gelatina;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;23438;21250;22622
345;Panela redonda morena;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3063;2896;2979
5200;Papa Betina;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;600;560;580
157;Papa capira;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;840;760;800
